==========
Args:Namespace(arch='resnet50', cuhk03_classic_split=False, cuhk03_labeled=False, dataset='market1501', eval_step=50, evaluate=False, gamma=0.1, gpu_devices='0', height=256, htri_only=False, labelsmooth=False, loss_type={'metric', 'softmax'}, lr=0.0002, margin=0.3, max_epoch=150, num_instances=4, optim='sgd', print_freq=10, reranking=False, resume='', root='E:\\WorkSpace\\Datasets', save_dir='log', seed=1, split_id=0, start_epoch=0, start_eval=0, stepsize=50, test_batch=32, train_batch=32, use_cpu=False, use_metric_cuhk03=False, weight_decay=0.0005, width=128, workers=0)
==========
Currently using GPU 0
Initializing dataset market1501
Dataset normal
=> Market1501 loaded
Dataset statistics:
  ==============================
  subset   | # ids | # images
  ------------------------------
  train    |   751 |    12936
  query    |   750 |     3368
  gallery  |   751 |    19732
  ------------------------------
  total    |  1501 |    36036
  ==============================
Initializing model: resnet50
Model size: 25.04683M
==> Start training
Epoch: [8][30/93]	Time 0.299 (0.295)	Data 0.154 (0.150)	Loss 7.2432 (6.8725)	CLoss 6.7429 (6.5085)	MLoss 0.5003 (0.3641)	
Epoch: [8][40/93]	Time 0.295 (0.296)	Data 0.151 (0.151)	Loss 6.7672 (6.8978)	CLoss 6.5373 (6.5020)	MLoss 0.2299 (0.3958)	
Epoch: [8][50/93]	Time 0.295 (0.296)	Data 0.153 (0.152)	Loss 7.2138 (6.9021)	CLoss 6.5760 (6.5058)	MLoss 0.6378 (0.3962)	
Epoch: [8][60/93]	Time 0.309 (0.298)	Data 0.158 (0.153)	Loss 6.5249 (6.9012)	CLoss 6.4870 (6.5148)	MLoss 0.0379 (0.3864)	
Epoch: [8][70/93]	Time 0.302 (0.299)	Data 0.158 (0.153)	Loss 7.0561 (6.9176)	CLoss 6.5005 (6.5188)	MLoss 0.5556 (0.3987)	
Epoch: [8][80/93]	Time 0.294 (0.299)	Data 0.152 (0.154)	Loss 7.0401 (6.9053)	CLoss 6.6146 (6.5240)	MLoss 0.4256 (0.3813)	
Epoch: [8][90/93]	Time 0.301 (0.299)	Data 0.156 (0.153)	Loss 6.7286 (6.9009)	CLoss 6.5063 (6.5254)	MLoss 0.2223 (0.3756)	
Epoch: [9][10/93]	Time 0.299 (0.289)	Data 0.154 (0.144)	Loss 6.7881 (6.6565)	CLoss 6.4007 (6.4375)	MLoss 0.3874 (0.2191)	
Epoch: [9][20/93]	Time 0.301 (0.293)	Data 0.155 (0.148)	Loss 7.6220 (6.8120)	CLoss 6.4709 (6.4438)	MLoss 1.1511 (0.3681)	
Epoch: [9][30/93]	Time 0.315 (0.295)	Data 0.161 (0.150)	Loss 6.9655 (6.8633)	CLoss 6.4946 (6.4623)	MLoss 0.4710 (0.4010)	
