==========
Args:Namespace(arch='resnet50', cuhk03_classic_split=False, cuhk03_labeled=False, dataset='dukemtmcreid', eval_step=50, evaluate=False, gamma=0.1, gpu_devices='0', height=256, htri_only=False, labelsmooth=False, loss_type={'softmax', 'metric'}, lr=0.002, margin=0.3, max_epoch=150, num_instances=4, optim='sgd', print_freq=10, reranking=False, resume='', root='E:\\WorkSpace\\Datasets', save_dir='./log', seed=1, split_id=0, start_epoch=0, start_eval=0, stepsize=20, test_batch=32, train_batch=32, use_cpu=False, use_metric_cuhk03=False, weight_decay=0.0005, width=128, workers=0)
==========
Currently using GPU 0
Initializing dataset dukemtmcreid
=> DukeMTMC-reID loaded
Dataset statistics:
  ------------------------------
  subset   | # ids | # images
  ------------------------------
  train    |   702 |    16522
  query    |   702 |     2228
  gallery  |  1110 |    17661
  ------------------------------
  total    |  1404 |    36411
  ------------------------------
Initializing model: resnet50
Model size: 24.94643M
==> Start training
Epoch: [8][80/87]	Time 0.330 (0.310)	Data 0.169 (0.169)	Loss 7.0599 (6.9201F)	CLoss 6.7389 (6.6437)	MLoss 0.3210 (0.2765)	
Epoch: [9][10/87]	Time 0.306 (0.300)	Data 0.167 (0.159)	Loss 6.7428 (6.8266F)	CLoss 6.5484 (6.5467)	MLoss 0.1944 (0.2799)	
Epoch: [9][20/87]	Time 0.307 (0.306)	Data 0.168 (0.165)	Loss 6.8423 (6.8355F)	CLoss 6.5775 (6.5544)	MLoss 0.2648 (0.2812)	
Epoch: [9][30/87]	Time 0.311 (0.307)	Data 0.169 (0.166)	Loss 6.7328 (6.8322F)	CLoss 6.5932 (6.5667)	MLoss 0.1396 (0.2655)	
Epoch: [9][40/87]	Time 0.306 (0.308)	Data 0.166 (0.166)	Loss 6.8704 (6.8527F)	CLoss 6.6398 (6.5813)	MLoss 0.2306 (0.2714)	
Epoch: [9][50/87]	Time 0.313 (0.309)	Data 0.172 (0.168)	Loss 7.0159 (6.8697F)	CLoss 6.6603 (6.5944)	MLoss 0.3556 (0.2754)	
Epoch: [9][60/87]	Time 0.306 (0.309)	Data 0.166 (0.168)	Loss 6.8008 (6.8901F)	CLoss 6.6834 (6.6101)	MLoss 0.1174 (0.2800)	
Epoch: [9][70/87]	Time 0.309 (0.310)	Data 0.169 (0.168)	Loss 7.0129 (6.9051F)	CLoss 6.7202 (6.6255)	MLoss 0.2927 (0.2796)	
Epoch: [9][80/87]	Time 0.317 (0.310)	Data 0.169 (0.169)	Loss 7.0653 (6.9132F)	CLoss 6.7355 (6.6380)	MLoss 0.3298 (0.2752)	
Epoch: [10][10/87]	Time 0.317 (0.303)	Data 0.167 (0.160)	Loss 6.8779 (6.8104F)	CLoss 6.5473 (6.5528)	MLoss 0.3305 (0.2576)	
