==========
Args:Namespace(arch='resnet50', cuhk03_classic_split=False, cuhk03_labeled=False, dataset='cuhk03', eval_step=50, evaluate=False, gamma=0.1, gpu_devices='0', height=256, htri_only=False, labelsmooth=False, loss_type={'metric', 'softmax'}, lr=0.0002, margin=0.3, max_epoch=150, num_instances=4, optim='sgd', print_freq=10, reranking=False, resume='', root='E:\\WorkSpace\\Datasets', save_dir='./log/cuhk03_detected', seed=1, split_id=0, start_epoch=0, start_eval=0, stepsize=30, test_batch=32, train_batch=32, use_cpu=False, use_metric_cuhk03=False, weight_decay=0.0005, width=128, workers=0)
==========
Currently using GPU 0
Initializing dataset cuhk03
Note: if root path is changed, the previously generated json files need to be re-generated (delete them first)
Split index = 0
=> CUHK03 (detected) loaded
Dataset statistics:
  ------------------------------
  subset   | # ids | # images
  ------------------------------
  train    |   767 |     7365
  query    |   700 |     1400
  gallery  |   700 |     5332
  ------------------------------
  total    |  1467 |     8765
  ------------------------------
Initializing model: resnet50
Model size: 25.07962M
==> Start training
Epoch: [6][50/95]	Time 0.338 (0.337)	Data 0.195 (0.192)	Loss 6.8926 (7.0486)	CLoss 6.6032 (6.5743)	MLoss 0.2895 (0.4743)	
Epoch: [6][60/95]	Time 0.340 (0.338)	Data 0.198 (0.193)	Loss 7.3648 (7.0649)	CLoss 6.5887 (6.5794)	MLoss 0.7761 (0.4856)	
Epoch: [6][70/95]	Time 0.340 (0.338)	Data 0.196 (0.193)	Loss 7.6144 (7.0760)	CLoss 6.6036 (6.5838)	MLoss 1.0108 (0.4922)	
Epoch: [6][80/95]	Time 0.326 (0.338)	Data 0.183 (0.193)	Loss 6.9976 (7.0717)	CLoss 6.5743 (6.5902)	MLoss 0.4233 (0.4815)	
Epoch: [6][90/95]	Time 0.341 (0.338)	Data 0.199 (0.193)	Loss 7.3293 (7.0843)	CLoss 6.6288 (6.5969)	MLoss 0.7005 (0.4874)	
Epoch: [7][10/95]	Time 0.369 (0.334)	Data 0.219 (0.188)	Loss 7.2476 (7.0679)	CLoss 6.4883 (6.5133)	MLoss 0.7593 (0.5546)	
Epoch: [7][20/95]	Time 0.327 (0.337)	Data 0.183 (0.192)	Loss 7.2278 (7.0355)	CLoss 6.6112 (6.5217)	MLoss 0.6166 (0.5138)	
Epoch: [7][30/95]	Time 0.335 (0.338)	Data 0.190 (0.193)	Loss 7.6656 (7.1288)	CLoss 6.5597 (6.5350)	MLoss 1.1059 (0.5938)	
Epoch: [7][40/95]	Time 0.346 (0.338)	Data 0.184 (0.193)	Loss 6.9906 (7.0804)	CLoss 6.6452 (6.5410)	MLoss 0.3453 (0.5394)	
Epoch: [7][50/95]	Time 0.348 (0.339)	Data 0.203 (0.193)	Loss 6.8793 (7.0556)	CLoss 6.5591 (6.5483)	MLoss 0.3202 (0.5073)	
Epoch: [7][60/95]	Time 0.339 (0.338)	Data 0.194 (0.193)	Loss 7.1842 (7.0846)	CLoss 6.6467 (6.5575)	MLoss 0.5376 (0.5271)	
Epoch: [7][70/95]	Time 0.340 (0.339)	Data 0.185 (0.193)	Loss 6.7836 (7.0649)	CLoss 6.5181 (6.5641)	MLoss 0.2654 (0.5008)	
Epoch: [7][80/95]	Time 0.347 (0.340)	Data 0.191 (0.193)	Loss 6.8409 (7.0548)	CLoss 6.5284 (6.5704)	MLoss 0.3125 (0.4844)	
Epoch: [7][90/95]	Time 0.343 (0.340)	Data 0.195 (0.193)	Loss 6.8333 (7.0461)	CLoss 6.7470 (6.5781)	MLoss 0.0863 (0.4680)	
Epoch: [8][10/95]	Time 0.342 (0.330)	Data 0.195 (0.186)	Loss 6.9136 (6.8081)	CLoss 6.5498 (6.5279)	MLoss 0.3638 (0.2801)	
Epoch: [8][20/95]	Time 0.344 (0.336)	Data 0.202 (0.190)	Loss 6.9978 (6.8665)	CLoss 6.4721 (6.5320)	MLoss 0.5257 (0.3344)	
Epoch: [8][30/95]	Time 0.344 (0.337)	Data 0.202 (0.191)	Loss 6.6474 (6.8668)	CLoss 6.5836 (6.5280)	MLoss 0.0638 (0.3388)	
Epoch: [8][40/95]	Time 0.334 (0.337)	Data 0.188 (0.192)	Loss 6.9372 (6.8733)	CLoss 6.5452 (6.5306)	MLoss 0.3919 (0.3427)	
Epoch: [8][50/95]	Time 0.344 (0.337)	Data 0.200 (0.192)	Loss 7.6873 (6.8975)	CLoss 6.6287 (6.5348)	MLoss 1.0586 (0.3627)	
Epoch: [8][60/95]	Time 0.342 (0.337)	Data 0.194 (0.192)	Loss 6.6661 (6.8902)	CLoss 6.6003 (6.5376)	MLoss 0.0658 (0.3526)	
Epoch: [8][70/95]	Time 0.338 (0.338)	Data 0.191 (0.193)	Loss 6.7677 (6.9015)	CLoss 6.5577 (6.5439)	MLoss 0.2100 (0.3576)	
Epoch: [8][80/95]	Time 0.346 (0.339)	Data 0.200 (0.194)	Loss 7.0173 (6.9025)	CLoss 6.5170 (6.5477)	MLoss 0.5003 (0.3548)	
Epoch: [8][90/95]	Time 0.367 (0.339)	Data 0.220 (0.194)	Loss 6.7584 (6.9183)	CLoss 6.7000 (6.5530)	MLoss 0.0584 (0.3653)	
Epoch: [9][10/95]	Time 0.347 (0.327)	Data 0.195 (0.183)	Loss 7.2381 (6.9145)	CLoss 6.4963 (6.4951)	MLoss 0.7418 (0.4195)	
Epoch: [9][20/95]	Time 0.349 (0.334)	Data 0.204 (0.189)	Loss 6.8651 (6.9286)	CLoss 6.4815 (6.4974)	MLoss 0.3836 (0.4312)	
Epoch: [9][30/95]	Time 0.353 (0.336)	Data 0.207 (0.191)	Loss 6.8317 (6.9181)	CLoss 6.4902 (6.4988)	MLoss 0.3415 (0.4193)	
Epoch: [9][40/95]	Time 0.330 (0.336)	Data 0.185 (0.191)	Loss 6.4386 (6.9204)	CLoss 6.4055 (6.5047)	MLoss 0.0331 (0.4157)	
Epoch: [9][50/95]	Time 0.329 (0.336)	Data 0.187 (0.191)	Loss 7.1250 (6.9032)	CLoss 6.5367 (6.5074)	MLoss 0.5882 (0.3958)	
Epoch: [9][60/95]	Time 0.347 (0.336)	Data 0.204 (0.192)	Loss 6.7511 (6.8905)	CLoss 6.5637 (6.5108)	MLoss 0.1873 (0.3797)	
Epoch: [9][70/95]	Time 0.342 (0.337)	Data 0.193 (0.192)	Loss 6.7927 (6.8982)	CLoss 6.6726 (6.5185)	MLoss 0.1201 (0.3797)	
Epoch: [9][80/95]	Time 0.339 (0.337)	Data 0.196 (0.192)	Loss 6.7927 (6.8879)	CLoss 6.6304 (6.5233)	MLoss 0.1623 (0.3647)	
Epoch: [9][90/95]	Time 0.332 (0.338)	Data 0.189 (0.192)	Loss 7.1615 (6.8816)	CLoss 6.6129 (6.5294)	MLoss 0.5486 (0.3522)	
Epoch: [10][10/95]	Time 0.337 (0.328)	Data 0.194 (0.184)	Loss 6.8646 (6.8410)	CLoss 6.4714 (6.4641)	MLoss 0.3931 (0.3769)	
Epoch: [10][20/95]	Time 0.332 (0.333)	Data 0.190 (0.188)	Loss 6.8484 (6.8224)	CLoss 6.4694 (6.4667)	MLoss 0.3790 (0.3557)	
Epoch: [10][30/95]	Time 0.337 (0.336)	Data 0.194 (0.190)	Loss 6.8766 (6.8341)	CLoss 6.4436 (6.4705)	MLoss 0.4330 (0.3636)	
Epoch: [10][40/95]	Time 0.344 (0.337)	Data 0.204 (0.191)	Loss 6.8915 (6.8003)	CLoss 6.5097 (6.4747)	MLoss 0.3818 (0.3255)	
Epoch: [10][50/95]	Time 0.336 (0.338)	Data 0.188 (0.192)	Loss 7.2255 (6.8151)	CLoss 6.6081 (6.4829)	MLoss 0.6174 (0.3322)	
Epoch: [10][60/95]	Time 0.332 (0.338)	Data 0.184 (0.192)	Loss 6.5416 (6.7818)	CLoss 6.4540 (6.4812)	MLoss 0.0876 (0.3006)	
Epoch: [10][70/95]	Time 0.340 (0.339)	Data 0.196 (0.193)	Loss 6.9168 (6.7927)	CLoss 6.5946 (6.4875)	MLoss 0.3221 (0.3052)	
Epoch: [10][80/95]	Time 0.354 (0.339)	Data 0.204 (0.193)	Loss 6.9745 (6.7970)	CLoss 6.4407 (6.4909)	MLoss 0.5338 (0.3060)	
Epoch: [10][90/95]	Time 0.339 (0.339)	Data 0.196 (0.193)	Loss 6.7858 (6.8120)	CLoss 6.4700 (6.4966)	MLoss 0.3158 (0.3153)	
Epoch: [11][10/95]	Time 0.332 (0.329)	Data 0.186 (0.181)	Loss 6.5334 (6.5809)	CLoss 6.4447 (6.4069)	MLoss 0.0887 (0.1740)	
Epoch: [11][20/95]	Time 0.335 (0.335)	Data 0.193 (0.189)	Loss 6.7849 (6.6102)	CLoss 6.5274 (6.4270)	MLoss 0.2575 (0.1832)	
Epoch: [11][30/95]	Time 0.334 (0.337)	Data 0.192 (0.190)	Loss 6.6420 (6.6993)	CLoss 6.5305 (6.4481)	MLoss 0.1115 (0.2512)	
Epoch: [11][40/95]	Time 0.350 (0.338)	Data 0.197 (0.191)	Loss 6.3971 (6.6871)	CLoss 6.3971 (6.4523)	MLoss 0.0000 (0.2348)	
Epoch: [11][50/95]	Time 0.335 (0.338)	Data 0.193 (0.192)	Loss 7.2898 (6.6975)	CLoss 6.5377 (6.4610)	MLoss 0.7521 (0.2365)	
Epoch: [11][60/95]	Time 0.348 (0.339)	Data 0.199 (0.192)	Loss 6.5744 (6.7031)	CLoss 6.4444 (6.4647)	MLoss 0.1300 (0.2384)	
Epoch: [11][70/95]	Time 0.335 (0.339)	Data 0.189 (0.192)	Loss 6.6856 (6.7407)	CLoss 6.5884 (6.4743)	MLoss 0.0972 (0.2664)	
Epoch: [11][80/95]	Time 0.340 (0.339)	Data 0.198 (0.193)	Loss 7.3230 (6.7423)	CLoss 6.5216 (6.4779)	MLoss 0.8014 (0.2644)	
Epoch: [11][90/95]	Time 0.336 (0.339)	Data 0.188 (0.193)	Loss 6.6589 (6.7384)	CLoss 6.3090 (6.4755)	MLoss 0.3500 (0.2629)	
Epoch: [12][10/95]	Time 0.344 (0.327)	Data 0.199 (0.184)	Loss 6.5623 (6.5982)	CLoss 6.3913 (6.4359)	MLoss 0.1710 (0.1623)	
Epoch: [12][20/95]	Time 0.332 (0.332)	Data 0.184 (0.187)	Loss 6.4877 (6.6431)	CLoss 6.4136 (6.4431)	MLoss 0.0741 (0.2000)	
Epoch: [12][30/95]	Time 0.329 (0.333)	Data 0.187 (0.188)	Loss 6.7735 (6.6440)	CLoss 6.5480 (6.4341)	MLoss 0.2255 (0.2099)	
Epoch: [12][40/95]	Time 0.323 (0.332)	Data 0.181 (0.188)	Loss 6.7896 (6.6473)	CLoss 6.4072 (6.4351)	MLoss 0.3825 (0.2122)	
Epoch: [12][50/95]	Time 0.366 (0.333)	Data 0.202 (0.188)	Loss 6.7418 (6.6644)	CLoss 6.3049 (6.4408)	MLoss 0.4369 (0.2236)	
Epoch: [12][60/95]	Time 0.346 (0.335)	Data 0.201 (0.189)	Loss 6.5061 (6.6619)	CLoss 6.4164 (6.4427)	MLoss 0.0896 (0.2192)	
Epoch: [12][70/95]	Time 0.332 (0.335)	Data 0.190 (0.190)	Loss 6.5329 (6.6650)	CLoss 6.4474 (6.4467)	MLoss 0.0856 (0.2183)	
Epoch: [12][80/95]	Time 0.350 (0.335)	Data 0.196 (0.190)	Loss 6.6885 (6.6616)	CLoss 6.4724 (6.4470)	MLoss 0.2160 (0.2147)	
Epoch: [12][90/95]	Time 0.338 (0.335)	Data 0.196 (0.191)	Loss 6.6363 (6.6711)	CLoss 6.4757 (6.4486)	MLoss 0.1606 (0.2225)	
Epoch: [13][10/95]	Time 0.319 (0.323)	Data 0.180 (0.178)	Loss 6.3104 (6.6260)	CLoss 6.3044 (6.3583)	MLoss 0.0060 (0.2677)	
Epoch: [13][20/95]	Time 0.341 (0.329)	Data 0.196 (0.185)	Loss 6.5195 (6.6137)	CLoss 6.4826 (6.3807)	MLoss 0.0369 (0.2330)	
Epoch: [13][30/95]	Time 0.333 (0.329)	Data 0.193 (0.186)	Loss 6.4028 (6.6475)	CLoss 6.3139 (6.3969)	MLoss 0.0889 (0.2506)	
Epoch: [13][40/95]	Time 0.341 (0.330)	Data 0.196 (0.187)	Loss 6.3873 (6.6152)	CLoss 6.3609 (6.3863)	MLoss 0.0263 (0.2289)	
Epoch: [13][50/95]	Time 0.333 (0.331)	Data 0.189 (0.188)	Loss 6.6804 (6.6338)	CLoss 6.3651 (6.3945)	MLoss 0.3152 (0.2393)	
Epoch: [13][60/95]	Time 0.337 (0.332)	Data 0.194 (0.189)	Loss 6.6668 (6.6313)	CLoss 6.4117 (6.3996)	MLoss 0.2551 (0.2317)	
Epoch: [13][70/95]	Time 0.333 (0.332)	Data 0.184 (0.189)	Loss 6.6981 (6.6339)	CLoss 6.4899 (6.4051)	MLoss 0.2081 (0.2287)	
Epoch: [13][80/95]	Time 0.328 (0.332)	Data 0.187 (0.189)	Loss 6.7517 (6.6412)	CLoss 6.4917 (6.4147)	MLoss 0.2600 (0.2265)	
Epoch: [13][90/95]	Time 0.325 (0.332)	Data 0.184 (0.189)	Loss 6.4930 (6.6531)	CLoss 6.4585 (6.4220)	MLoss 0.0345 (0.2311)	
Epoch: [14][10/95]	Time 0.329 (0.321)	Data 0.187 (0.179)	Loss 6.5048 (6.6604)	CLoss 6.3957 (6.3776)	MLoss 0.1091 (0.2828)	
Epoch: [14][20/95]	Time 0.332 (0.327)	Data 0.189 (0.184)	Loss 6.4561 (6.6060)	CLoss 6.3948 (6.3720)	MLoss 0.0614 (0.2340)	
Epoch: [14][30/95]	Time 0.335 (0.329)	Data 0.192 (0.186)	Loss 6.8664 (6.6016)	CLoss 6.3875 (6.3754)	MLoss 0.4789 (0.2262)	
Epoch: [14][40/95]	Time 0.339 (0.330)	Data 0.197 (0.187)	Loss 6.7491 (6.5789)	CLoss 6.4220 (6.3713)	MLoss 0.3272 (0.2076)	
Epoch: [14][50/95]	Time 0.334 (0.331)	Data 0.194 (0.188)	Loss 6.2887 (6.5950)	CLoss 6.2264 (6.3719)	MLoss 0.0623 (0.2232)	
Epoch: [14][60/95]	Time 0.323 (0.331)	Data 0.178 (0.188)	Loss 6.9300 (6.6009)	CLoss 6.4521 (6.3755)	MLoss 0.4779 (0.2254)	
Epoch: [14][70/95]	Time 0.338 (0.331)	Data 0.198 (0.189)	Loss 6.4221 (6.5901)	CLoss 6.4112 (6.3807)	MLoss 0.0109 (0.2094)	
Epoch: [14][80/95]	Time 0.336 (0.332)	Data 0.193 (0.189)	Loss 7.0834 (6.5988)	CLoss 6.5175 (6.3848)	MLoss 0.5659 (0.2140)	
Epoch: [14][90/95]	Time 0.340 (0.332)	Data 0.199 (0.190)	Loss 6.3679 (6.5961)	CLoss 6.3679 (6.3903)	MLoss 0.0000 (0.2058)	
Epoch: [15][10/95]	Time 0.334 (0.323)	Data 0.188 (0.179)	Loss 6.6027 (6.4341)	CLoss 6.3351 (6.3144)	MLoss 0.2676 (0.1197)	
Epoch: [15][20/95]	Time 0.329 (0.326)	Data 0.188 (0.182)	Loss 6.4624 (6.5289)	CLoss 6.2436 (6.3092)	MLoss 0.2188 (0.2198)	
Epoch: [15][30/95]	Time 0.330 (0.328)	Data 0.186 (0.185)	Loss 6.3694 (6.5263)	CLoss 6.3308 (6.3233)	MLoss 0.0385 (0.2030)	
Epoch: [15][40/95]	Time 0.333 (0.330)	Data 0.189 (0.187)	Loss 6.3404 (6.4980)	CLoss 6.2853 (6.3245)	MLoss 0.0551 (0.1735)	
Epoch: [15][50/95]	Time 0.336 (0.331)	Data 0.196 (0.188)	Loss 6.5496 (6.4937)	CLoss 6.3200 (6.3234)	MLoss 0.2297 (0.1703)	
Epoch: [15][60/95]	Time 0.332 (0.331)	Data 0.185 (0.188)	Loss 7.1579 (6.5021)	CLoss 6.4087 (6.3344)	MLoss 0.7492 (0.1677)	
